Russia;143.964.709
Germany;82.293.457
United Kingdom;66.573.504
France;6.523.327.099.999.990
Italy;59.290.969.000.000.000
Spain;46.397.452.000.000.000
Ukraine;4.400.921.400.000.000
Poland;38.104.832
Romania;19.580.634
Netherlands;17.084.459
Belgium;11.498.518.999.999.900
Greece;11.142.161
Czech Republic;10625.25
Portugal;10.291.196
Sweden;9.982.709
Hungary;9.688.847
Belarus;9.452.113.000.000.000
Serbia;8.762.027
Austria;8751.82
Switzerland;8.544.034
Bulgaria;7.036.848.000.000.000
Denmark;5.754.356
Finland;5.542.517
Slovakia;5.449.816
Norway;5.353.363
Ireland;4.803.748
Croatia;4.164.782.999.999.990
Moldova;4.041.065
Bosnia and Herzegovina;3.503.554
Albania;2.934.363
Lithuania;2.876.475
Macedonia;2.085.051
Slovenia;2081.26
Latvia;19.299.379.999.999.900
Estonia;1.306.788
Cyprus;1.189.085
Montenegro;629.219
Luxembourg;590.321
Malta;432.089
Iceland;337.78
Isle of Man;84.831
Andorra;76.953
Faroe Islands;49.489
Monaco;38.897
Liechtenstein;38.155
Gibraltar;34.733.000.000.000.000
San Marino;33.556.999.999.999.900
Vatican City;0.8009999999999999
